Name,trailer_youtube_url,cover_art_url,year_released,synopsis,genre,rating
Mad Max Fury Road,https://www.youtube.com/watch?v=YWNWi-ZWL3c,http://www.madmaxmovies.com/mad-max-fury-road/soundtrack/mad-max-fury-road-soundtrack.jpg,2015,A movie about rebels in a post apocalyptic world,Action,R
Avatar,https://www.youtube.com/watch?v=cRdxXPV9GNQ,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_UY1200_CR90,0,630,1200_AL_.jpg",2009,A marine communicates with aliens on an alien planet.,Science Fiction,PG-13
Titanic,https://www.youtube.com/watch?v=zCy5WQ9S4c0,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY1200_CR88,0,630,1200_AL_.jpg",1997,A love story aboard a sinking ship,Romance,PG-13
The Force Awakens,https://www.youtube.com/watch?v=sGbxmsDFVnE,http://dorksideoftheforce.com/files/2015/12/Star_Wars_The_Force_Awakens.jpg,2015,Galactic warfare,Science Fiction,PG-13
Jurassic World,https://www.youtube.com/watch?v=RFinNxS5KN4,https://i.ytimg.com/vi/aJJrkyHas78/maxresdefault.jpg,2015,Dinosaurs are brought back to life,Science Fiction,PG-13
The Avengers,https://www.youtube.com/watch?v=eOrNdBpGMv8,https://i.annihil.us/u/prod/marvel/i/mg/6/50/521f70b81f7d3/portrait_incredible.jpg,2012,Super heroes fight Loki to save earth,Action,PG-13
Furious 7,https://www.youtube.com/watch?v=yISKeT6sDOg,https://images-na.ssl-images-amazon.com/images/I/51xJsYdMi8L.jpg,2015,A gang of car racers rescue a hacker from some really bad people,Action,PG-13
Roger and Me,https://www.youtube.com/watch?v=xPNmHPjkxdk,https://images-na.ssl-images-amazon.com/images/I/51GAPX0WTVL.jpg,1989,"Michael Moore tracks down answers to GM closing its doors in Flint, MI",Documentary,R
Ex Machina,https://www.youtube.com/watch?v=bggUmgeMCdc,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_UY1200_CR90,0,630,1200_AL_.jpg",2015,An AI comes alive,Thriller,R
Frozen,https://www.youtube.com/watch?v=QcLoX6WAG1o,https://pbs.twimg.com/profile_images/538014983829716992/Ja7TP76P.jpeg,2013,A princess breaks her sister's icy spell over their kingdom,Comedy,PG
Borat,https://www.youtube.com/watch?v=iJZO5Hge2DY,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_UY1200_CR91,0,630,1200_AL_.jpg",2006,A popular reporter from Kazahkstan visits America,Comedy,R
The Fate of the Furious,https://www.youtube.com/watch?v=uisBaTkQAEs,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_UY1200_CR64,0,630,1200_AL_.jpg",2017,A gang of car racers rescue the world from a hacker,Action,R